speaker	utt	act	act	slots	
driver	Carson, please				
driver	I'd like to know if there are going to be blizzard on Boston today				
assistant	Can you tell me what location you need data for?			{"weather_attribute": "temperature", "date": "current"}	
assistant	The weather forecast calls today for lowest temperature in Cleveland			{"weather_attribute": "frost", "date": "today", "location": "Cleveland"}	
assistant	What city would you like to know the temperature of?			{"weather_attribute": "high temperature", "date": "this week"}	
assistant	Where would you like to know about the forecast for rain?			{"weather_attribute": "rain"}	
driver	I need the forecast in Alhambra for tomorrow please.				
assistant	No, I'm sorry but on Sunday it should rain in Durham			{"weather_attribute": "clear skies", "date": "Sunday", "location": "Durham"}	
assistant	What location do you need information about?			{"date": "tomorrow"}	
driver	redwood city				
assistant	Where are you located?			{"date": "today"}	
driver	What is the highest temperature in San Jose on Thursday?				
assistant	There is no frost in San Jose today.			{"weather_attribute": "frost ", "date": "today ", "location": "San Jose"}	
driver	Will it be foggy in Menlo Park in the next two days?				
driver	Will there be snow on Wednesday in Oakland?				
assistant	Which city would you like the rain forecast for, for next week?			{"weather_attribute": "rain", "date": "next week"}	
assistant	What city would you like next week's snow forecast for?			{"weather_attribute": "snow", "date": "next week"}	
assistant	It's not gonna be cloudy in Boston during the next week			{"location": "Boston"}	
driver	Okay great. Thank you.				
assistant	Yes, there will be rain on Monday this week in New York.			{"location": "New York"}	
assistant	It will be foggy and between 20-30F on Saturday in Manhattan.			{"date": "Saturday ", "location": "Manhattan"}	
assistant	There is no dew in the forecast for Brentwood this week.			{"weather_attribute": "dew", "date": "this week", "location": "Brentwood"}	
assistant	It will not snow in Manhattan this week.			{"weather_attribute": "snow ", "date": "this week", "location": "Manhattan "}	
assistant	There shouldn't be any hail during the next seven days in Alhambra			{"weather_attribute": "hail", "date": "next seven days", "location": "Alhambra"}	
assistant	No problem.			{}	
driver	check the weather				
driver	Okay thank you				
assistant	For what day would you like the forecast in Boston for?			{"location": "Boston"}	
assistant	Snow is in the predictions for several cities, which one would you like me to tell you about?			{"weather_attribute": "snow", "date": "next 7 days"}	
driver	when is the next cloudy day				
assistant	It will not be overcast in Mountain View this week.			{"weather_attribute": "overcast"}	
driver	Will there be drizzle in Oakland tomorrow?				
assistant	Glad I could be of assistance! You're welcome.			{}	
assistant	In what city do you need to hear the weather forecast for?			{"weather_attribute": "temperature", "date": "next week"}	
driver	Will it be stormy in San Mateo on Sunday?				
assistant	It is supposed to drizzle Monday and Saturday and rain on Sunday.			{"weather_attribute": "rain", "location": "San Mateo "}	
assistant	Today is gonna be frost in Los Angeles, with low temperature of 30F, and high of 40F			{"weather_attribute": "rain", "date": "today", "location": "Los Angeles"}	
driver	what's the weather like today and tomorrow				
driver	Will you find out if it will be cloudy in New York on tuesday please				
driver	what's the weather going to be like for this week				
driver	Thank you car.				
assistant	Yes, today's forecast states that it is humid in New York.			{"weather_attribute": "humid", "date": "two day", "location": "New York"}	
assistant	In Durham on Monday there will be a blizzard and on Tuesday misty.			{"date": "Today and tomorrow ", "location": "Durham"}	
driver	danville				
assistant	It will not be foggy in Compton this week.			{"weather_attribute": "foggy ", "date": "7 days", "location": "Compton "}	
assistant	Now it's outcast in Redwood City			{"location": "Redwood City"}	
driver	what's the weather going to be like today and tomorrow				
assistant	In what city are you inquiring about?			{}	
driver	I need to know if it is going to be raining in the next 7 days, for Grand Rapids.				
assistant	It is forecast to rain in New York on Wednesday of this week.			{"weather_attribute": "rain", "date": "this week", "location": "New York"}	
driver	Durham please.				
assistant	For which city would you like to know the forecast?			{"date": "this week"}	
assistant	The weather forecast doesn't predict any blizzard this week in Inglewood			{"weather_attribute": "blizzard", "location": "Inglewood"}	
driver	Is it raining in Fresno now?				
assistant	It will not be overcast in Manhattan tomorrow.			{"weather_attribute": "overcast ", "date": "tomorrow", "location": "Manhattan "}	
driver	Is it misty in San Francisco now?				
driver	Will it be foggy in Menlo Park today?				
driver	Terrific, thanks				
driver	Today and tomorrow, will there be clear skies in Compton?				
assistant	In Grand Rapids, it will be rainy today between 90-100F and nowy tomorrow between 60-80F.			{"location": "Grand Rapids"}	
assistant	For what city would you like to know tomorrow's forecast?			{"date": "tomorrow"}	
driver	Will it be stormy in Exeter in the next 7 days?				
assistant	The isn't any drizzle predicted to fall in New York this week.			{"weather_attribute": "drizzle", "date": "this week", "location": "New York"}	
driver	Thank you car, this is great!				
driver	Perfect!				
assistant	There isn't any rain predicted in durham this week, but is should be stormy on thursday			{"weather_attribute": "rain", "date": "upcoming week", "location": "durham"}	
driver	Will there be a blizzard this week in Manhattan?				
driver	what's the current temperature outside				
driver	Downtown Chicago, please				
assistant	Today is frost in Exeter, with low temperature of 50F, and high of 60F			{"weather_attribute": "humid", "location": "Exeter"}	
driver	Alright, thank you				
assistant	What city would you like the temperature for on Friday?			{"date": "Friday"}	
assistant	Today's forecast calls for clear skies in seattle.			{"weather_attribute": "overcast", "date": "today", "location": "seattle"}	
assistant	Of which city do you want to know the chance of rain?			{"weather_attribute": "chance of rain", "date": "this week"}	
driver	Great, thanks so much for the help.				
assistant	What city are you wanting to know if there is going to be snow and ice?			{"weather_attribute": "snow and ice", "date": "next week"}	
assistant	It will not be cloudy and day this week in New York.			{"weather_attribute": "cloudy", "date": "week"}	
assistant	This week in Fresno the temperatures will be low of 80F and a high of 90F on Monday, low of 20F, high of 40F on Tuesday, low of 70F, high of 80F on Wednesday, low of 80F, high of 100F on Thursday, low of 20F, high of 40F on Friday, low of 40F, high of 50F on Saturday, and a low of 30F, high of 40F on Sunday.			{"location": "Fresno"}	
assistant	What days are you interested in?			{"location": "San Jose"}	
assistant	It will not be misty in fresno today			{"weather_attribute": "misty", "date": "today", "location": "fresno"}	
assistant	For what city can i give you today's weather information?			{"date": "today"}	
driver	Oakland for today.				
driver	Great thank you				
assistant	What city do you need this weekly forecast for?			{"date": "this week"}	
assistant	What city would you like to know if it is going to rain in?			{"weather_attribute": "rain", "date": "upcoming week"}	
assistant	The weather in Inglewood this week will be as follows. Monday cloudy, Tuesday foggy, Wednesday overcast, Thursday rain, Friday clear skies, Saturday stormy, and Sunday overcast.			{"location": "Inglewood"}	
driver	check forecast for new york				
assistant	In what city should I check for rain?			{"weather_attribute": "rain", "date": "next week"}	
assistant	There is no blizzard in Redwood City today.			{"date": "blizzard ", "weather_attribute": "today", "location": "redwood City"}	
assistant	It will rain in San Francisco on Tuesday, with temperatures ranging from 90-100F.			{"date": "Tuesday"}	
assistant	Is it actually stormy in Mountain View now			{"weather_attribute": "hail", "date": "now", "location": "Mountain View"}	
driver	I need the weather for Thursday. I am in Seattle.				
driver	I want to know Chicago's weather.				
assistant	There will be clear skies today in Mountain View.			{"weather_attribute": "Hail", "date": "Today", "location": "Mountain View"}	
driver	what's the forecast for new york city				
assistant	In Grand rapids the temperature is predicting lows in the 20F and highs in the 90F.			{"weather_attribute": "temperature", "date": "next week", "location": "Grand rapids"}	
assistant	It will not be stormy in San Mateo on Sunday.			{"weather_attribute": "stormy ", "date": "Sunday", "location": "San Mateo"}	
driver	What's the temperature in Carson going to be on Tuesday?				
assistant	The weather in New York is snow, low of 30F, high of 40F.			{"location": "New York"}	
assistant	Rain is predicted to fall on Tuesday in Los Angeles			{"weather_attribute": "rain", "date": "next week", "location": "Los Angeles"}	
driver	Will it be windy in redwood city today?				
assistant	anytime			{}	
assistant	It will rain on Tuesday in Manhattan.			{"date": "this week", "weather_attribute": "rain", "location": "Manhattan "}	
assistant	What city would you like the 2 day forecast for?			{"date": "today and tomorrow"}	
assistant	There isn't any snow predicted in fresno next week			{"weather_attribute": "snow", "date": "next week", "location": "fresno"}	
driver	Will it be dry any day?				
driver	is it raining today				
assistant	This week in MountianView the wearther varies between hot, foggy, windy, and stormy days.			{"weather_attribute": "forecast", "date": "this week", "location": "Mountain view"}	
driver	Okay, perfect. Thanks!				
driver	Good to know.				
driver	Okay perfect. Thanks!				
assistant	It will be dry on Monday in Durham.			{"date": "next week", "weather_attribute": "dry ", "location": "Durham"}	
driver	find out if it's supposed to rain				
driver	In Durham, please.				
driver	In new york will it be foggy this week?				
assistant	Have a great week.			{}	
driver	Mountain View				
driver	That will do, thanks.				
assistant	No snow in Redwood City on Monday, it will rain			{"weather_attribute": "snow", "date": "Monday", "location": "Redwood City"}	
driver	Okay, that helps, thank you				
assistant	What city should i check today's forecast for?			{"date": "today"}	
assistant	You're welcome. Have a great day.			{}	
assistant	This week in San Mateo, Monday and Tuesday have lows in the 20F with highs in the 50F. the rest of the week has high temperatures reaching the 100s			{"weather_attribute": "temperature", "date": "this week", "location": "San mateo"}	
driver	Is it windy right now?				
driver	New York				
assistant	Can you tell me what city I should give you the weather information about?			{}	
assistant	For what city should i check the weather forecast for?			{}	
assistant	It should not rain in Compton on Wednesday.			{"weather_attribute": "rain ", "date": "wednesday", "location": "compton"}	
driver	is it going to rain today				
assistant	It will rain Monday, Tuesday, and Thursday in San Jose.			{"location": "San Jose"}	
driver	Thank you very much car!				
assistant	Between today and tomorrow the high temperature should only reach the 50s in Atherton			{"weather_attribute": "hot", "date": "today and tomorrow", "location": "Atherton"}	
driver	what's the weather like this week				
assistant	What city are you asking about?			{}	
driver	Yes! Thank you so much.				
driver	what's the weather like on my drive today				
driver	Will it be humid in exeter tomorrow?				
driver	show me the weather for the next 7 days				
driver	I'm in New York				
driver	will it rain next week				
assistant	The forecast for Thursday is supposed to be humid for Carson.			{"weather_attribute": "Corona", "date": "next week", "location": "Corona"}	
driver	thank you				
assistant	Snow is predicted in Brentwood this Sunday, the high temperature should reach the 70Fs			{"weather_attribute": "warm", "date": "Sunday", "location": "Brentwood"}	
driver	is it going to rain sometime this week				
assistant	Yes, the forecast on Friday in Carson is for clear skies			{"weather_attribute": "clear skies", "date": "friday", "location": "carson"}	
driver	Will it be cloudy in Los Angeles next week?				
driver	Los Angeles				
driver	is snow forecasted this week				
driver	Is it overcast now in Grand Rapids?				
driver	Is it gonna be hot in Atherton today and tomorrow?				
driver	is it going to snow this week				
driver	Mountain View.				
driver	That's good to know.				
driver	Inglewood				
driver	Okay thank you				
assistant	What city do you want to know the temperature for?			{"weather_attribute": "temperature", "date": "current"}	
driver	check today's forecast for rain				
driver	Tell me if it will rain in Seattle over the next few days				
