speaker	utt	act	act	slots	#event	S0
driver	No, thank you!					
assistant	Glad i can help.			{}		
driver	Remind me about my football activity with my father at 5 pm.					
driver	Thanks for the help.					
driver	Hi, Can I set a scedule about football at 3 PM next week with Alex?					
driver	Yes please.					
driver	Schedule a swimming activity with Marie for Friday at 1pm.					
assistant	ok			{"date": "august 12th", "event": "tennis", "time": "1 pm"}		
assistant	You're welcome			{}		
assistant	You're welcome.			{}		
driver	Thank you					
driver	I need a reminder for a yoga activity at 7 pm on Thursday with Jeff.					
assistant	Okay, scheduling a optometrist appointment with Marie for later this week at 5pm? Do you have a specific day in mind?			{"date": "later this week", "party": "Marie", "event": "optometrist appointment", "time": "5pm"}		
driver	what time is my doctor appointment					
driver	i'm taking medicine on the 1st					
driver	Thank you.					
assistant	The meeting is on Tuesday at 1 pm. The purpose is listed as to discuss the company picnic.			{"event": "business meeting"}		
driver	make a note that at 5 pm on the 12th i have yoga					
driver	schedule a meeting for monday the 1st					
driver	Dinner, what time and date?					
driver	i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3					
driver	Perfect, I appreciate it!					
assistant	What time would you like to schedule your appointment?			{"date": "12th", "event": "dentist appointment"}		
assistant	Your brother will be going to the doctor's appointment on Tuesday.			{"event": "doctor's appointment"}		
driver	Find out some information for my swimming activity, parties joining me and date.					
assistant	What is the location of your doctor's appointment?			{"date": "August 8", "event": "Doctor's appointment", "time": "10:00 am"}		
assistant	Very good, goodbye.			{}		
driver	set alarm for dinner tonight					
driver	set a reminder for doctor's appointment					
assistant	glad to help			{}		
driver	add tomorrow night's football game to my calendar for 9 pm					
assistant	What time would you like a reminder for the football game?			{"date": "12th", "event": "football game"}		
driver	What time is my doctors appointment and who is attending?					
driver	What day and time is my dentist appointment?					
assistant	no problem			{}		
assistant	Okay perfect, I have that all scheduled for you. Can I help with anything else?			{"date": "August 3rd", "party": "mother", "event": "lab appointment", "time": "7pm"}		
assistant	Your swimming activity is on Tuesday at 5 pm.			{"event": "swimming"}		
assistant	You are always welcome.			{}		
driver	Thank you					
assistant	You have two football events scheduled	one with Jeff at 6pm on Friday and one with Alex at 1pm on the same day.	one with Jeff at 6pm on Friday and one with Alex at 1pm on the same day.			
driver	Can you find out the date and parties attending for my tennis activity?					
driver	I need to schedule a doctor appointment at 10 am. The 14th of August with Alex.					
assistant	Okay, I am now scheduling a conference on the 7th at 2 pm with management.			{"date": "7th", "party": "management ", "event": "conference", "time": "2pm"}		
driver	what time is my doctor's appointment					
assistant	Okay, I have scheduled a doctor's appointment for 3 pm next week with your father.			{"date": "next week", "party": "father", "time": "3 pm"}		
driver	Set a reminder for taking my medicine at 4 pm on the 8th with Ana.					
driver	Schedule an appointment at 5PM at the end of March with Tom.					
assistant	happy to help			{}		
assistant	Okay, setting a Thursday dinner reminder with your mother at 2 pm.			{"date": "Thursday", "party": "mother", "event": "dinner", "time": "2 pm"}		
driver	Thanks					
assistant	Your other tennis activities are on the 8th at 5 pm and on Monday at 1 pm.			{}		
assistant	Okay, scheduling a meeting with the infrastructure team to go over the budget for Thursday at 5pm.			{"date": "Thursday", "party": "infrastructure team", "event": "meeting", "agenda": "go over budget", "time": "5pm"}		
assistant	Your lab appointment with your aunt for the 7th at 1pm has been promptly scheduled!			{"date": "7th", "party": "aunt", "event": "lab appointment", "time": "1pm"}		
assistant	You are welcome.			{}		
driver	Car, will you schedule a Doctor's appointment for me? Set it for 11 am, tomorrow, with Jon.					
assistant	Your dinner appointment is on Friday at 5pm.			{"event": "dinner reservation"}		
driver	give me the date and time of my dentist appointment					
driver	Nice! Thank you.					
assistant	Your yoga class is at 1 pm			{"event": "yoga"}		
assistant	You currently have three football activities scheduled. One is on Monday and Martha will be attending. The other i on Sunday and you sister will be attending. The last is on the 8th and your aunt will be attending.			{"event": "football activity "}		
assistant	Ok I've scheduled the dinner for Friday.			{"date": "Friday"}		
driver	remind me that i have a meeting tomorrow					
assistant	You are welcome			{}		
assistant	What day and time should i schedule your eye doctor appointment for?			{"event": "eye doctor appointment"}		
assistant	I will schedule your yoga activity with Tom on the 4th at 5pm.			{"date": "4th", "party": "Tom", "event": "yoga activity", "time": "5pm"}		
assistant	You are welcome.			{}		
assistant	It is on Saturday at 9 am.			{"event": "optometrist appointment"}		
driver	What is the date and time for my yoga activity?					
driver	Thanks, I appreciate it!					
driver	schedule an appointment					
driver	Hello car. Hi I want to find out the time and the parties attending my lab appointment please.					
assistant	No problem!			{}		
driver	Can you tell me who's attending my next tennis activity? Also the date?					
driver	Please set it for 10am					
assistant	I will set a schedule for Yoga activity at 5pm on Wednesday with Ana.			{"date": "Wednesday", "party": "Ana", "event": "Yoga Activity ", "time": "5pm"}		
driver	Okay wonderful, thanks so much!					
assistant	you are welcome			{}		
driver	tell me when i have yoga class					
driver	set a reminder on my calendar for football practice at 4:50 pm on august 12th					
driver	Perfect, thank you!					
driver	what is the date and time of my next meeting					
driver	car set up appointment for the 12th for my doctor on the calendar					
assistant	you are welcome			{}		
driver	Thanks					
driver	Thanks.					
driver	find what time my doctor appointment is for					
assistant	Okay, setting a reminder for a conference with your vice president on the 10th at 10am.			{"date": "10th", "party": "vice president", "event": "conference", "time": "10am"}		
assistant	Setting reminder for meeting with management to discuss company picnic for today at 9 am.			{"date": "today", "party": "management", "event": "meeting", "agenda": "discuss company picnic", "time": "9 am "}		
assistant	You have a tennis activity on Friday at 6pm and Sunday at 9am.			{"event": "tennis activity"}		
assistant	What day of the month would that be on?			{"date": "later this month", "event": "meeting ", "time": "2pm"}		
driver	What time will we be meeting for this?					
driver	remind me about the football game					
driver	Thank you.					
assistant	happy to help			{}		
assistant	You're welcome.			{}		
assistant	Okay, I am now scheduling a optometrist appointment for later this week at 3pm with Jeff. Any specific day?			{"date": "later this week", "party": "Jeff", "event": "optometrist appointment", "time": "3pm"}		
assistant	Okay, setting a reminder for a swimming activity with your sister for Wednesday at 7pm.			{"date": "Wednesday", "party": "sister", "event": "swimming activity", "time": "7pm"}		
driver	Great, thank you.					
assistant	Your meeting on the 1st has been scheduled.			{"date": "a meeting "}		
driver	when is the meeting					
driver	thank you.					
driver	Schedule a meeting with the infrastructure team to go over budget on Thursday at 5pm.					
assistant	You have two football activities scheduled. One on the 17th with Jeff and one on the 18th with Tom.			{"event": "football activity"}		
driver	Set a reminder for a dentist appointment this month on the 11th at 11am, with Tom.					
driver	Awesome, thanks.					
driver	Please add a yoga activity to my schedule on the 29th at 4pm with Tom.					
assistant	You are welcome.			{}		
assistant	I will schedule a conference with management on Monday August 8th at 10 am immediately!			{"date": "Monday August 8th", "party": " management", "event": "conference", "time": "10am"}		
driver	Set a schedule for a meeting at 5pm, 6th of this month with HR to sign the NDA.					
assistant	Okay, setting a reminder for football activity with Tom for the 4th at 1pm.			{"date": "the 4th", "party": "Tom", "event": "football activity", "time": "1pm"}		
driver	Who are attending the activities?					
driver	Thanks!					
driver	When is football and who's coming?					
assistant	You have several conferences on your schedule, which one in particular would you like information about?			{"event": "conference"}		
driver	It is on the tenth.					
assistant	you're welcome			{}		
driver	Thank you very much assistant.					
driver	remind me of the time for today's dinner					
assistant	Your doctor's appointment is on Friday at 1 pm.			{"event": "doctor's appointment"}		
driver	What time is my meeting and at what location?					
assistant	Okay, I am scheduling a dentist appointment with your mother for Monday the 1st at 5pm.			{"date": "1st", "party": "mother", "event": "dentist appointment", "time": "5pm"}		
driver	add the football game to my calendar					
driver	What is the date of my next dinner and who will be attending it?					
driver	Thanks!					
driver	Thank you.					
assistant	you're welcome			{}		
driver	put my optometrist appointment in my calendar					
assistant	the football game is friday at 11am			{"event": "football game"}		
assistant	You currently have 3 meetings scheduled. The first is on Tuesday in conference room 10 to dicu the company picnic. The second i on Saturday in 100 conference room to go over the budget. The last is on the 8th in conference room 100 to discuss the dress code.			{"event": "meeting"}		
driver	Thank you					
driver	Thank you					
assistant	The soonest yoga class available is at 1pm on the 3rd with Jeff.			{"event": "Yoga"}		
assistant	Which one? I am seeing two, one with Aunt on the 7th at 5pm, and one with mother on the 20th at 1pm.			{"event": "swimming activity"}		
driver	At what time are these appointments?					
driver	when's my doctor's appointment					
assistant	The purpose of the conference is to discuss the merger.			{"event": "conference"}		
assistant	Okay, scheduling a meeting for 6 pm on Tuesday with your boss to go over the quarterly report.			{"date": "Tuesday", "party": "boss", "event": "meeting", "agenda": "go over the quarterly report", "time": "6 pm"}		
driver	schedule my dentist appointment on the 12th					
assistant	I have set a reminder for the 1st at 5PM for swimming with Martha.			{"date": "1st", "party": "Martha", "agenda": "swimming", "time": "5pm"}		
assistant	I have scheduled a meeting for tomorrow at 5 pm. I will remind you at 4:50 pm and attach your agenda.			{"date": "tomorrow ", "event": "meeting ", "agenda": "attach my agenda", "time": "5 pm"}		
driver	Perfect, thanks!					
driver	Thank you!					
driver	List my current reminders.					
driver	Great, thanks.					
assistant	I have set a reminder to have lab work done on the 12th at 7 pm.			{"time": " 7 pm"}		
assistant	Have a good day.			{}		
assistant	You are meeting with the sales team to discuss the company picnic today.			{"date": "today", "event": "meeting"}		
assistant	Your next meeting is at 2 pm on Wednesday at the 100 conference room.			{"event": "meeting"}		
assistant	You take your next dose on Friday at 7 pm.			{"date": "friday", "agenda": "medicine dose", "time": "7pm"}		
assistant	What date and time would you like to schedule your tennis class?			{"event": "tennis"}		
assistant	I will schedule an optometrist appointment at 2pm with Jon, for what day?			{"party": "Jon", "event": "optometrist appointment", "time": "2 pm"}		
assistant	You are welcome.			{}		
driver	Okay, thanks car.					
driver	next doctor's appointment					
assistant	Your next lab appointment is on the 1st at 10am.			{"event": "lab appointment"}		
assistant	Reminder set for 10AM.			{"time": "10 am"}		
driver	What time and date is my conference and what is the agenda?					
driver	check the date and time of my doctor's appointment					
driver	Thanks.					
assistant	I have the soonest dinner listed for 8pm on the 2nd with your sister.			{"event": "dinner"}		
assistant	You have yoga activities on the 2nd, 8th, and Thursday, which one are you interested in?			{"event": "Yoga"}		
driver	It's on the 11th with management to discuss the company picnic.					
assistant	Your next football activity is with Jeff at 4pm. Do you need the date as well?			{"event": "football activity"}		
driver	Thanks.					
driver	It's at 7pm on August 12th.					
assistant	I am scheduling a conference this month on the 11th at 4pm with HR. Is that correct?			{"date": "this month on the 11th", "party": "HR", "event": "conference ", "time": "4pm"}		
driver	Okay wonderful. Thank you!					
driver	Thanks.					
driver	Schedule a swimming activity with my brother on August 22nd at 2pm.					
assistant	What day next week, and time, should I set a reminder?			{"room": "conference room", "event": "group meeting"}		
assistant	Very well. Goodbye.			{}		
driver	Thank you!					
driver	Cool, thanks.					
driver	Schedule dinner with Martha tonight at 10pm.					
driver	Set it at 1 pm on December 10th, with Marie.					
assistant	Your next conference is with management on Monday at 6 pm to discuss the company picnic in conference room 50.			{"event": "conference"}		
assistant	I'm sorry i didn't get that. You have two yoga activities scheduled. One at 3pm with Ana and another at 4pm with Jeff. Would you like to know the dates as well?			{}		
assistant	no problem			{}		
assistant	Would you like to know when your lab appointment is with your sister or with Marie ?			{"event": "Lab appointment"}		
driver	When is my yoga?					
driver	Thanks.					
assistant	Your next conference is this Friday a 3 pm.			{"event": "conferences"}		
assistant	Okay, im scheduling a optometrist appointment with your sister for next week at 10am? Do you have a specific day in mind?			{"date": "next week", "party": "sister", "event": "optometrist appointment", "time": "10am"}		
driver	when is my next dentist appointment					
driver	Okay perfect.					
assistant	Alright, I have set the reminder for your lab appointment with your father for 2PM on this Tuesday.			{"date": "this Tuesday", "party": "father", "event": "lab appointment", "time": "2pm"}		
assistant	Set reminder for optometrist appointment at 2 pm this week with Jon. Do you know what date exactly?			{"date": "this week", "party": "jon", "event": "optometrist appointment ", "time": "2 pm"}		
assistant	For which one? I have two, one at 1pm on the 15th and one at 5pm on the 20th.			{"event": "conference"}		
driver	That is great, thank you.					
assistant	You are welcome.			{}		
assistant	you're welcome			{}		
driver	schedule my tennis class					
assistant	You are welcome!			{}		
assistant	Your yoga class will be this Tuesday at 4pm with Marie.			{"event": "yoga"}		
assistant	Your meeting is scheduled at 10 am.			{"event": "meeting"}		
assistant	What day would you like to be reminded?			{"event": "shot"}		
assistant	you are welcome			{}		
assistant	the football game starts at 11 am friday morning.			{"event": "football game"}		
driver	That is all, thanks.					
